id,month,bank_name,no_of_transactions,amt_of_transactions,no_of_active_costumers
32678,01-03-2024,Abhyudaya Co-operative Bank,7895628,104922.38,240146
32679,01-03-2024,Adarniya P D Patilsaheb Co-operative Bank Karad,76062,1124.7,2607
32680,01-03-2024,Adarsh Co-operative Urban Bank,338726,30959.22,28725
32681,01-03-2024,Agrasen Bank,4770,2265.77,516
32682,01-03-2024,Ahmednagar Merchants Co-operative Bank,4840,2366.77,1438
32683,01-03-2024,Ahmednagar Shahar Co-operative Bank,1268,215.16,2568
32684,01-03-2024,Airtel Payments Bank,364338325,2195208.35,14863671
32685,01-03-2024,Akhand Anand Co-operative Bank Surat,11730,7582.67,1182
32686,01-03-2024,Alavi Co-operative Bank,1068,456.07,199
32687,01-03-2024,Aman Co-operative Bank Ichalkaranji,178,51.15,43
32688,01-03-2024,Amarnath Co-operative Bank,244,149.15,46
32689,01-03-2024,Ambajogai Peoples Co-operative Bank Ambajogai,3583,2128.93,3908
32690,01-03-2024,Ambarnath Jai-Hind Co-operative Bank,8430,2116.58,1691
32691,01-03-2024,Amreli Jilla Madhyasth Co-operative Bank,294882,15456.87,14459
32692,01-03-2024,Amreli Nagarik Co-operative Bank,979,1818.53,156
32693,01-03-2024,Andhra Pradesh Grameen Vikas Bank,141709,52758.32,52943
32694,01-03-2024,Apna Co-operative Bank,221290,24090.32,6351
32695,01-03-2024,Arihant Urban Co-operative Bank,18,4.35,41
32696,01-03-2024,Arvind Co-operative Bank,176503,4454.01,444
32697,01-03-2024,Aryavart Bank,757424,16559.81,52698
32698,01-03-2024,Assam Gramin Vikash Bank,2344478,28612.61,18403
32699,01-03-2024,Associate Co-operative Bank,7259,12286.57,5747
32700,01-03-2024,AU Small Finance Bank,45930331,2875621.39,348555
32701,01-03-2024,Axis Bank,651204164,21728306.78,5007598
32702,01-03-2024,Appasaheb Birnale Co-operative Bank Dudhgaon,817,49,220
32703,01-03-2024,Balasinor Nagarik Co-operative Bank,8095,798.79,326
32704,01-03-2024,Balitikuri Co-operative Bank,667,17.45,276
32705,01-03-2024,Balotra Urban Co-operative Bank,76963,11796.87,2146
32706,01-03-2024,Balusseri Co-operative Urban Bank,14,2.12,14
32707,01-03-2024,Banaskantha District Central Co-operative Bank,31888,27854.35,81
32708,01-03-2024,Bandhan Bank,52163399,1880275.52,271219
32709,01-03-2024,Bank of Bahrain and Kuwait B.S.C.,678,78.56,171
32710,01-03-2024,Bank of Baroda,811543758,14584317.54,2975377
32711,01-03-2024,Bank of India,400362479,9008269.22,229418
32712,01-03-2024,Bank of Maharashtra,199471242,3442772.69,588074
32713,01-03-2024,Baran Nagrik Sahkari Bank,26008,4738.08,1718
32714,01-03-2024,Baroda UP Gramin Bank,233087,59822.67,627294
32715,01-03-2024,Bassein Catholic Co-operative Bank,80363,71383.37,22439
32716,01-03-2024,Bhadradri Co-operative Urban Bank,187128,3875.26,259
32717,01-03-2024,Bhagini Nivedita Co-operative Bank,600943,8264.45,25789
32718,01-03-2024,Bharat Co-operative Bank,5524294,188687.54,56742
32719,01-03-2024,Bhavana Rishi Co-operative Urban Bank,1242,444.2,1242
32720,01-03-2024,Bhavnagar District Co-operative Bank,6924,3082.86,10015
32721,01-03-2024,Bhilwara Urban Co-operative Bank,24380,947.74,688
32722,01-03-2024,Bombay Mercantile Co-operative Bank,353493,13134.87,1489
32723,01-03-2024,Basoda Nagrik Co-operative Bank,17,0.27,4
32724,01-03-2024,Bhavani Urban Co-operative Bank,16,0.09,10
32725,01-03-2024,C G Rajya Co-operative Bank Mydt,116183,7089.31,3168
32726,01-03-2024,Canara Bank,572206456,14913347.37,1769650
32727,01-03-2024,Capital Small Finance Bank,1268992,81361.31,19954
32728,01-03-2024,Catholic Syrian Bank,7229254,192389.58,54291
32729,01-03-2024,Central Bank of India,197719450,4725313.87,422834
32730,01-03-2024,Chaitanya Godavari Grameena Bank,5838585,82703.5,211471
32731,01-03-2024,Chikmagalur District Central Co-operative Bank,934,160.17,152
32732,01-03-2024,Citizen Credit Co-operative Bank,251996,4753.89,6086
32733,01-03-2024,Citizens Co-operative Bank Rajkot,9307,9648.23,626
32734,01-03-2024,City Union Bank,59425641,1281044.72,237870
32735,01-03-2024,Coastal Local Area Bank,8232,4259.01,1729
32736,01-03-2024,Col R D Nikam Sainik Co-operative Bank,90,6.25,52
32737,01-03-2024,Contai Co-operative Bank,1363,448.73,369
32738,01-03-2024,Dakshin Bihar Gramin Bank,51597,14430.03,28284
32739,01-03-2024,Dausa Urban Co-operative Bank,12183,2821.34,373
32740,01-03-2024,DBS Bank India,25970353,601511.76,693572
32741,01-03-2024,DCB Bank,6085513,317901.69,82860
32742,01-03-2024,DCCB Srikakulam,1330,261.65,874
32743,01-03-2024,Deendayal Nagari Co-operative Bank,1451,588.17,1396
32744,01-03-2024,Deogiri Nagari Co-operative Bank,17815,4913.13,1988
32745,01-03-2024,Deutsche Bank AG,796291,44266.22,33618
32746,01-03-2024,Dhanera Mercantile Co-operative Bank,9140,12797.88,831
32747,01-03-2024,Dhanlaxmi Bank,100063,40502.88,34429
32748,01-03-2024,Dindigul Central Co-operative Bank,200,8.44,101
32749,01-03-2024,Dattatray Maharaj Kalambe Jaoli Bank,12971,2010.57,2729
32750,01-03-2024,Doha Bank QPSC,2007,898.87,1482
32751,01-03-2024,Dombivli Nagrik Co-operative Bank,3885546,167538.52,718
32752,01-03-2024,Durgapur Steel Peoples Co-operative Bank,3188,410.74,1003
32753,01-03-2024,Equitas Small Finance Bank,335518,172205.93,84048
32754,01-03-2024,ESAF Small Finance Bank,200927,51609.58,44911
32755,01-03-2024,Federal Bank,15889734,1808613.09,1638363
32756,01-03-2024,Fincare Small Finance Bank,396331,86366.53,227076
32757,01-03-2024,Fingrowth Co-operative Bank,15867,14076.09,6488
32758,01-03-2024,Fino Payments Bank,117790861,591301.87,3499003
32759,01-03-2024,G S Mahanagar Co-operative Bank,94046,12303.07,5384
32760,01-03-2024,GP Parsik Janata Co-operative Bank,4282990,74422.55,3388
32761,01-03-2024,Godavari Urban Co-operative Bank,331,124.25,62
32762,01-03-2024,Guardian Souharda Co-operative Bank,1887,252.56,1703
32763,01-03-2024,Gujarat Ambuja Co-operative Bank,9858,2202.02,255
32764,01-03-2024,HDFC Bank,1154119908,38034373.56,18550299
32765,01-03-2024,Himachal Pradesh Gramin Bank,106302,177327.81,51280
32766,01-03-2024,Himatnagar Nagrik Co-operative Bank,3500,5551.7,2561
32767,01-03-2024,Hooghly District Central Co-operative Bank,156,10.09,145
32768,01-03-2024,HSBC,9268839,473658.07,171742
32769,01-03-2024,Hutatma Co-operative Bank,2478,446.13,340
32770,01-03-2024,ICICI Bank,594066812,32775516.93,16544626
32771,01-03-2024,IDBI Bank,143869087,3575521.88,426099
32772,01-03-2024,IDFC First Bank,86583038,4584674.31,1411497
32773,01-03-2024,Income Tax Department Co-operative Bank,852,107.77,319
32774,01-03-2024,India Post Payments Bank,15918056,309675.72,1699785
32775,01-03-2024,Indian Bank,384177796,6524664.21,1706441
32776,01-03-2024,Indian Overseas Bank,294370906,5617076.64,208682
32777,01-03-2024,Indore Cloth Market Co-operative Bank,4090,1501.99,682
32778,01-03-2024,Indore Paraspar Co-operative Bank,19920,552.53,1595
32779,01-03-2024,Indraprastha Sehkari Bank,2926,1983.88,381
32780,01-03-2024,Indrayani Co-operative Bank,679,150.05,145
32781,01-03-2024,IndusInd Bank,139839878,7839653.8,999127
32782,01-03-2024,Jammu and Kashmir Grameen Bank,1975433,43290.38,107148
32783,01-03-2024,Jammu and Kashmir State Co-operative Bank,6150,1211.6,2353
32784,01-03-2024,Jalgaon Janata Co-operative Bank,1087917,28975.96,4621
32785,01-03-2024,Jalna Merchants Co-operative Bank,302435,7577.22,3002
32786,01-03-2024,Jalore Nagrik Co-operative Bank,2521,734.63,410
32787,01-03-2024,Jamia Co-operative Bank,3152,250.74,455
32788,01-03-2024,Jana Small Finance Bank,182189,62738.11,287564
32789,01-03-2024,Janakalyan Co-operative Bank,36723,9579.29,5654
32790,01-03-2024,Janata Co-operative Bank Malegaon,997,289.17,550
32791,01-03-2024,Janata Co-operative Bank Ajara,738,255.1,107
32792,01-03-2024,Janatha Seva Co-operative Bank,1909,494.4,3627
32793,01-03-2024,Janta Co-operative Bank Pune,4527699,62539.08,41409
32794,01-03-2024,Jijamata Mahila Co-operative Bank,120308,1788.49,234
32795,01-03-2024,Jila Co-operative Kendriya Bank Maryadit Durg,414321,11040.85,4465
32796,01-03-2024,Jila Co-operative Kendriya Bank Maryadit Jagdalpur,3116,631.79,1490
32797,01-03-2024,Jila Co-operative Kendriya Bank Maryadit Khargone,4844,2728.56,1068
32798,01-03-2024,Jila Co-operative Kendriya Bank Maryadit Raipur,7330,2367.83,2720
32799,01-03-2024,Jio Payments Bank,10018681,78279.32,43244
32800,01-03-2024,Jivan Commercial Co-operative Bank,7067,3158.27,439
32801,01-03-2024,Jodhpur Nagrik Co-operative Bank,20311,2676.46,2090
32802,01-03-2024,Jogindra Central Co-operative Bank,2766,885.98,1218
32803,01-03-2024,Janaseva Co-operative Bank Pune,15058,4507.2,2511
32804,01-03-2024,Jugalkishor Tapdiya Shree Mahesh Urban Co-operative Bank Aurangabad,116,22.45,100
32805,01-03-2024,Kallappanna Awade Ichalkaranji Janata Co-operative Bank,1015146,32375.15,35167
32806,01-03-2024,Kankaria Maninagar Nagrik Co-operative Bank,57345,3244.22,3527
32807,01-03-2024,Kanyakumari District Central Co-operative Bank,130,6.69,46
32808,01-03-2024,Karnatak Central Co-operative Bank Dharwad,1718,762.25,604
32809,01-03-2024,Karnataka Bank,3504270,639730.03,522229
32810,01-03-2024,Karnataka Vikas Grameen Bank,11755537,135469.04,215202
32811,01-03-2024,Karur Vysya Bank,63532956,2266479.75,321601
32812,01-03-2024,Kerala Gramin Bank,54061462,690619.99,17925
32813,01-03-2024,Kerala State Co-operative Bank,123329,60568.7,32515
32814,01-03-2024,Koilkuntla Co-operative Bank Pvt.,201,35.23,89
32815,01-03-2024,Kokan Mercantile Co-operative Bank,16310,3676.93,2371
32816,01-03-2024,Kolhapur Mahila Co-operative Bank,1039,466.97,779
32817,01-03-2024,Kopargaon Peoples Co-operative Bank,9472,714.35,538
32818,01-03-2024,Kota Nagrik Co-operative Bank,328,88.13,219
32819,01-03-2024,Kotak Mahindra Bank,653939075,15482024.43,17725714
32820,01-03-2024,Koyana Co-operative Bank,19090,302.5,18
32821,01-03-2024,Krishna Bhima Samruddhi LAB,3181,641.33,1239
32822,01-03-2024,Khardah Co-operative Bank,187,32.33,240
32823,01-03-2024,LIC Employees Co-operative Bank Udupi,298,46.73,932
32824,01-03-2024,Lakhimpur Urban Co-operative Bank,3703,306.04,723
32825,01-03-2024,Latur Urban Co-operative Bank Latur,53061,17363.43,2642
32826,01-03-2024,Laxmi Urban Co-operative Bank,35065,1867.38,1094
32827,01-03-2024,Loknete Dattaji Patil Co-operative Bank Lasalgaon,524,51.78,136
32828,01-03-2024,Lokvikas Nagari Co-operative Bank Chhatrapati Sambhajinagar,33744,423.67,807
32829,01-03-2024,Lonawala Co-operative Bank Mydt Lonawala,1911,474.98,317
32830,01-03-2024,M S Co-operative Bank,3185,1089.42,566
32831,01-03-2024,Madurai District Central Co-operative Bank,298,27.67,208
32832,01-03-2024,Mahalakshmi Co-operative Bank Udupi,1073,144.85,272
32833,01-03-2024,Mahanagar Nagrik Co-operative Bank Maryadit,649,392.77,89
32834,01-03-2024,Maharashtra Gramin Bank,95566,9353.65,25933
32835,01-03-2024,Mahesh Co-operative Bank Pune,8627,1074.5,10224
32836,01-03-2024,Mahesh Urban Co-operative Bank Parbhani,4365,3773.05,392
32837,01-03-2024,Mahila Nagrik Co-operative Bank Maryadit Mahasamund,5814,93.04,4
32838,01-03-2024,Makarpura Industrial Estate Co-operative Bank,518,1468.65,537
32839,01-03-2024,Manipur Rural Bank,395517,601.29,471
32840,01-03-2024,Mann Deshi Mahila Co-operative Bank Mhaswad,130830,1388.17,1518
32841,01-03-2024,Manasing Co-operative Bank,274,61.82,48
32842,01-03-2024,Manvi Pattana Souharda Co-operative Bank,1903,940.55,264
32843,01-03-2024,Maratha Co-operative Bank Belgaum,1598,531.69,195
32844,01-03-2024,Meghalaya Rural Bank,952415,13327.82,3369
32845,01-03-2024,Mehsana Urban Co-operative Bank,1470056,35.67,78651
32846,01-03-2024,Merchants Co-operative Bank Tiptur,68,18.85,18
32847,01-03-2024,Model Co-operative Bank,14774,2794.66,3123
32848,01-03-2024,Mugberia Central Co-operative Bank,2085,574.35,2059
32849,01-03-2024,Nadia District Central Co-operative Bank,1866,63.95,136
32850,01-03-2024,Nagarik Co-operative Bank Maryadit Durg,113,13.14,181
32851,01-03-2024,Nagrik Co-operative Bank Maryadit Vidisha,749,223.57,93
32852,01-03-2024,Nagrik Co-operative Bank Maryadit Gwalior,706,84.59,176
32853,01-03-2024,Nandani Co-operative Bank Nandani,75334,1913.66,92
32854,01-03-2024,Nav Jeevan Co-operative Bank,4790,3785.03,984
32855,01-03-2024,Navanagara Urban Co-operative Bank,1214,223.65,343
32856,01-03-2024,Navi Mumbai Co-operative Bank,5654,1077.92,5743
32857,01-03-2024,Navsarjan Industrial Co-operative Bank,9142,585.37,169
32858,01-03-2024,New India Co-operative Bank,20043,4661.5,1926
32859,01-03-2024,Nidhi Co-operative Bank,3894,2028.16,1614
32860,01-03-2024,NKGSB Co-operative Bank,93763,17747.15,6892
32861,01-03-2024,North East Small Finance Bank,17203,3473.51,4070
32862,01-03-2024,NSDL Payments Bank,11369588,99138.73,266908
32863,01-03-2024,Nutan Nagarik Co-operative Bank,307974,44978.17,17585
32864,01-03-2024,Nashik Zilha Sarkari and Parishad Karmachari Co-operative Bank Niyamit Nashik,42,5.02,370
32865,01-03-2024,Omprakash Deora Peoples Co-operative Bank Hingoli,2704,1966.93,485
32866,01-03-2024,Pali Urban Co-operative Bank,5254,3603.75,1853
32867,01-03-2024,Palus Co-operative Bank,141326,4397.15,1408
32868,01-03-2024,Patan Nagrik Co-operative Bank,4503,2410.89,315
32869,01-03-2024,Pavana Co-operative Bank,4059,702.25,9886
32870,01-03-2024,Paytm Payments Bank,89162567,984967.04,11141874
32871,01-03-2024,Peoples Urban Co-operative Bank,28061,648.4,447
32872,01-03-2024,Peoples Co-operative Bank Dholka,1144,1156.94,589
32873,01-03-2024,Pochampally Co-operative Urban Bank,409436,13070.74,13215
32874,01-03-2024,Poornawadi Nagrik Co-operative Bank Maryadit Beed,240583,7469.9,8753
32875,01-03-2024,Porbandar Commercial Co-operative Bank,1720,2244.38,177
32876,01-03-2024,Pragati Co-operative Bank Baroda,5333,3894.05,2453
32877,01-03-2024,Prerana Co-operative Bank,12740,5252.24,7185
32878,01-03-2024,Prime Co-operative Bank,359306,57564.23,1817
32879,01-03-2024,Priyadarshani Nagari Co-operative Bank Jalna,418919,7981.05,4356
32880,01-03-2024,Progressive Mercantile Co-operative Bank,1585,1046.07,331
32881,01-03-2024,Pune Cantonment Co-operative Bank,223657,3103.16,10074
32882,01-03-2024,Pune Peoples Co-operative Bank,15919,27679.01,14883
32883,01-03-2024,Punjab and Sind Bank,259176,43538.29,51757
32884,01-03-2024,Punjab National Bank,714430951,12177562.66,1404221
32885,01-03-2024,Pusad Urban Co-operative Bank,1159,150.31,426
32886,01-03-2024,Prarthmik Shikshak Co-operative Bank Satara,1543,101.3,629
32887,01-03-2024,Puduvai Bharathiar Grama Bank,3,0.05,55
32888,01-03-2024,Rajadhani Co-operative Urban Bank,42906,834.84,38
32889,01-03-2024,Rajapur Urban Co-operative Bank,645,138.19,92
32890,01-03-2024,Rajaram Bapu Co-operative Bank,313368,11178.31,11307
32891,01-03-2024,Rajasthan Marudhara Gramin Bank,215217,88402.78,44773
32892,01-03-2024,Rajgurunagar Co-operative Bank,40819,16127.23,26951
32893,01-03-2024,Rajkot Nagrik Co-operative Bank,1694623,59719.54,91661
32894,01-03-2024,Rajkot Peoples Co-operative Bank,34017,8967.46,790
32895,01-03-2024,Ramanathapuram District Central Co-operative Bank,298,21.2,139
32896,01-03-2024,Rani Channamma Mahila Co-operative Bank Niyamit Belagavi,59317,1310.37,1900
32897,01-03-2024,Ratnagiri District Central Co-operative Bank,58627,1161.1,3350
32898,01-03-2024,RBL Bank,40355750,970670.94,172749
32899,01-03-2024,Ramrajya Co-operative Bank Pune,794,74.38,180
32900,01-03-2024,Sadalga Urban Souharda Co-operative Bank Niyamit,259,38.3,64
32901,01-03-2024,Sadhana Co-operative Bank,6770,1810.6,999
32902,01-03-2024,Samarth Co-operative Bank Solapur,739519,9627.19,808
32903,01-03-2024,Samarth Co-operative Bank Maryadit Jalna,127029,2793.99,1047
32904,01-03-2024,Samata Co-operative Development Bank,364,48.5,103
32905,01-03-2024,Sampada Co-operative Bank,150677,2107.83,1436
32906,01-03-2024,Samruddhi Co-operative Bank Nagpur,280,35.47,95
32907,01-03-2024,Sandur Pattana Sahkari Bank Nymt,32157,1031.3,1612
32908,01-03-2024,Sanmitra Mahila Nagari Co-operative Bank Maryadit,1010,435.32,186
32909,01-03-2024,Sant Sopankaka Co-operative Bank,8881,7583.88,1486
32910,01-03-2024,Saraspur Nagrik Co-operative Bank,18118,13336.61,2117
32911,01-03-2024,Saraswat Co-operative Bank,23623632,504653.11,412484
32912,01-03-2024,Sardar Bhiladwala Pardi Peoples Co-operative Bank,128627,8701.93,1257
32913,01-03-2024,Sardar Singh Nagrik Sahkari Bank Maryadit Tikamgarh,1203,658.95,179
32914,01-03-2024,Sardar Vallabhbhai Co-operative Bank,16464,4000.72,399
32915,01-03-2024,Sardarganj Mercantile Co-operative Bank Anand,6838,3132.23,889
32916,01-03-2024,Sarva Haryana Gramin Bank,41627,11473.93,7502
32917,01-03-2024,Sarvodaya Commercial Co-operative Bank Mehsana,291089,24933.17,2132
32918,01-03-2024,Sarvodaya Nagrik Co-operative Bank Himatnagar,4073,3767,3724
32919,01-03-2024,Saurashtra Gramin Bank,53117,24063.31,13004
32920,01-03-2024,SBM Bank India,5713464,77811.34,6014
32921,01-03-2024,Sharad Co-operative Bank,21447,6589.5,2131
32922,01-03-2024,Shinhan Bank,29877,12478.81,2466
32923,01-03-2024,Shivalik Small Finance Bank,32213,17007.02,3489
32924,01-03-2024,Shramik Nagrik Co-operative Bank Indore,325,9.91,71
32925,01-03-2024,Shree Basaveshwar Urban Co-operative Bank Ranebennur,49,10.22,64
32926,01-03-2024,Shree Dharati Co-operative Bank,20576,2194.73,1688
32927,01-03-2024,Shree Kadi Nagrik Co-operative Bank,6995,40588.18,1061
32928,01-03-2024,Shree Mahavir Co-operative Bank,90588,1198.3,75
32929,01-03-2024,Shree Mahesh Co-operative Bank Nashik,1540,766.74,246
32930,01-03-2024,Shree Mahuva Nagrik Co-operative Bank,1382,1358.01,154
32931,01-03-2024,Shree Panchganga Nagari Co-operative Bank,2000,834.13,416
32932,01-03-2024,Shree Talaja Nagrik Co-operative Bank,927,817.3,126
32933,01-03-2024,Shree Vardhaman Co-operative Bank Baroda,1206,1053.04,691
32934,01-03-2024,Shree Warana Co-operative Bank,4377,2690.76,4949
32935,01-03-2024,Shri Adinath Co-operative Bank Ichalkaranji,222,73.42,54
32936,01-03-2024,Shri Anand Nagari Co-operative Bank,348,29.85,1112
32937,01-03-2024,Shri Arihant Co-operative Bank,16088,4350.55,1697
32938,01-03-2024,Shri Chhani Nagrik Co-operative Bank,222,199.81,36
32939,01-03-2024,Shri Chhatrapati Rajarshi Shahu Urban Co-operative Bank,1010348,39863.29,3542
32940,01-03-2024,Shri Gajanan Nagari Co-operative Bank,68,19.09,132
32941,01-03-2024,Shri Janata Co-operative Bank Halol,21980,2345.62,1342
32942,01-03-2024,Shri Mahalaxmi Co-operative Bank Kolhapur,2381,235.43,479
32943,01-03-2024,Shri Mahila Sewa Co-operative Bank,377,27.35,197
32944,01-03-2024,Shri Rajkot District Central Co-operative Bank,28837,12785.56,5171
32945,01-03-2024,Shri Shivayogi Murughendra Swami Urban Co-operative Bank,13,14.2,34
32946,01-03-2024,Shri Shiveshwar Nagri Co-operative Bank Basmatnagar,2580,3492.56,361
32947,01-03-2024,Shri Swami Samarth Co-operative Bank,1644,359.61,241
32948,01-03-2024,Shri Krishna Co-operative Bank Maryadit Umrer Nagpur,421,658.48,122
32949,01-03-2024,Sikkim State Co-operative Bank,1516,252.9,808
32950,01-03-2024,Sindhudurg District Central Co-operative Bank,15328,2198.69,3621
32951,01-03-2024,Sivagangai District Central Co-operative Bank,25,0.93,41
32952,01-03-2024,South Indian Bank,54585702,1659716.92,1600470
32953,01-03-2024,SPSR Nellore District Central Co-operative Bank,2376,596.07,884
32954,01-03-2024,Sree Charan Souhardha Co-operative Bank,72647,648.95,4164
32955,01-03-2024,Sreenidhi Souharda Co-operative Bank Niyamitha,25849,631.46,113
32956,01-03-2024,Sri Ganapathi Urban Co-operative Bank,94,10.36,39
32957,01-03-2024,Sri Gokarnanath Co-operative Bank,1332,50.97,546
32958,01-03-2024,Sri Rama Co-operative Bank,19,4.11,359
32959,01-03-2024,Sri Sudha Co-operative Bank,147,64.88,147
32960,01-03-2024,Standard Urban Co-operative Bank Aurangabad,1061,82.57,318
32961,01-03-2024,State Bank of India,3444030811,67680637.27,123366419
32962,01-03-2024,Suco Souharda Co-operative Bank,7804,12694.93,1046
32963,01-03-2024,Sundarlal Sawji Urban Co-operative Bank Jintur,17010,13043.52,2016
32964,01-03-2024,Surat National Co-operative Bank,33847,33845.22,4104
32965,01-03-2024,Suryoday Small Finance Bank,127748,51123.84,88840
32966,01-03-2024,SVC Co-operative Bank,6181638,108026.63,29118
32967,01-03-2024,Swatantrya Senani Late Shripal Alase Kaka Kurundwad Urban Co-operative Bank Kurundwad,74,10.02,32
32968,01-03-2024,Saptagiri Grameena Bank,38,0.98,1830
32969,01-03-2024,Shri D T Patil Co-operative Bank Chikodi,1365,24.92,8
32970,01-03-2024,Shriram Urban Co-operative Bank Nagpur,241,43.86,47
32971,01-03-2024,Sikar Kendriya Sahkari Bank,403,58.18,151
32972,01-03-2024,Tamil Nadu Grama Bank,466,11.31,410
32973,01-03-2024,Tamil Nadu State Apex Co-operative Bank,1351,401.75,876
32974,01-03-2024,Tamilnad Mercantile Bank,1555064,468930.3,238058
32975,01-03-2024,Tamluk-Ghatal Central Co-operative Bank,8452,1275.19,3029
32976,01-03-2024,Teachers Co-operative Bank,1386,329.84,2004
32977,01-03-2024,Telangana Grameena Bank,60020,16901.98,19603
32978,01-03-2024,Textile Traders Co-operative Bank,17512,5660.85,1238
32979,01-03-2024,Thane Bharat Co-operative Bank,19135,2966.12,3494
32980,01-03-2024,Accountant Generals Office Employees Co-operative Bank,635,138.42,670
32981,01-03-2024,Adarsh Co-operative Urban Bank,9324,4234.48,1086
32982,01-03-2024,Adilabad District Co-operative Central Bank,2204,536.98,519
32983,01-03-2024,Adinath Co-operative Bank,2571,1055.11,405
32984,01-03-2024,Ahmedabad District Co-operative Bank,1227861,46762.43,2734
32985,01-03-2024,Ahmedabad Mercantile Co-operative Bank,415943,79830.16,6766
32986,01-03-2024,Ahmednagar District Central Co-operative Bank,411041,6474.79,677
32987,01-03-2024,Ajara Urban Co-operative Bank,1122,334.34,163
32988,01-03-2024,Akola District Central Co-operative Bank,59966,181970.45,14904
32989,01-03-2024,Akola Janata Commercial Co-operative Bank,129289,17253.71,8593
32990,01-03-2024,Amravati Zilla Parishad Shikshak Co-operative Bank,25010,1071.07,1095
32991,01-03-2024,Anand Mercantile Co-operative Bank,13503,1635.39,4209
32992,01-03-2024,Andhra Pradesh State Co-operative Bank,6571,1545.14,1696
32993,01-03-2024,Ashta Peoples Co-operative Bank,39194,869.79,153
32994,01-03-2024,Babasaheb Deshmukh Co-operative Bank,103,12.95,16
32995,01-03-2024,Banaskantha Mercantile Co-operative Bank,52700,35761.08,3123
32996,01-03-2024,Bapunagar Mahila Co-operative Bank,645,334.66,659
32997,01-03-2024,Bardoli Nagrik Co-operative Bank,1944,1109.64,222
32998,01-03-2024,Baroda Central Co-operative Bank,1098594,23888.94,197
32999,01-03-2024,Baroda City Co-operative Bank,2462,1273.24,291
33000,01-03-2024,Bavla Nagrik Co-operative Bank,9562,4029.93,994
33001,01-03-2024,Bellary District Central Co-operative Bank,7500,1861.11,7500
33002,01-03-2024,Bhagyalakshmi Mahila Co-operative Bank,11409,5650.29,1106
33003,01-03-2024,Bhagyodaya Co-operative Bank,6919,7094.18,721
33004,01-03-2024,Bhiwani Central Co-operative Bank,1788,839.15,1334
33005,01-03-2024,Bhuj Commercial Co-operative Bank,6978,6589.92,508
33006,01-03-2024,Bicholim Urban Co-operative Bank,7071,894.12,1831
33007,01-03-2024,Burdwan Central Co-operative Bank,9720,1300.4,15714
33008,01-03-2024,Business Co-operative Bank Maryadit,152718,6027.02,3425
33009,01-03-2024,Calicut Co-operative Urban Bank,906,60.15,244
33010,01-03-2024,Bikaner Central Co-operative Bank,2291,429.59,383
33011,01-03-2024,Chanasma Nagrik Co-operative Bank,969,599.76,115
33012,01-03-2024,Chandigarh State Co-operative Bank,9393,458.79,245
33013,01-03-2024,Cherpalcheri Co-operative Urban Bank,96,0.16,129
33014,01-03-2024,Chhapi Nagrik Co-operative Bank,533,371.53,80
33015,01-03-2024,Chikhli Urban Co-operative Bank,67167,16193.67,10133
33016,01-03-2024,Chittoor District Co-operative Central Bank,3332,853.27,939
33017,01-03-2024,Co-operative Bank of Mehasana,7725,5161.24,439
33018,01-03-2024,Co-operative Bank of Rajkot,28383,17980.32,4167
33019,01-03-2024,Coimbatore District Central Co-operative Bank,529,35.92,179
33020,01-03-2024,Commercial Co-operative Bank Kolhapur,2685,424.09,367
33021,01-03-2024,Commercial Co-operative Bank - Jamnagar,10016,9918.68,879
33022,01-03-2024,Cosmos Co-operative Bank,7916866,177490.25,218778
33023,01-03-2024,Cuddalore District Central Co-operative Bank,205,10.15,127
33024,01-03-2024,Dahod Mercantile Co-operative Bank,3979,5485.54,411
33025,01-03-2024,Dahod Urban Co-operative Bank,7567,16138.87,2577
33026,01-03-2024,Davangere Urban Co-operative Bank,623,446.46,308
33027,01-03-2024,Davangere Harihar Urban Co-operative Bank,65,11.76,29
33028,01-03-2024,Dhanbad Central Co-operative Bank,24441,452.46,28
33029,01-03-2024,Dharmapuri District Central Co-operative Bank,1026,121.68,509
33030,01-03-2024,District Central Co-operative Bank Warangal,1335,257.5,2590
33031,01-03-2024,District Co-operative Central Bank Visakhapatnam,1488,494.01,2611
33032,01-03-2024,District Co-operative Central Bank Eluru,2385,479.79,4934
33033,01-03-2024,Eenadu Co-operative Urban Bank,1821,879.1,279
33034,01-03-2024,Erode District Central Co-operative Bank,54813,1000.53,271
33035,01-03-2024,Financial Co-operative Bank,3975,1529.65,2150
33036,01-03-2024,Gandevi Peoples Co-operative Bank,22884,1641.95,326
33037,01-03-2024,Gandhidham Co-operative Bank,1985,1873.91,318
33038,01-03-2024,Gandhidham Mercantile Co-operative Bank,5147,2691.43,553
33039,01-03-2024,Gandhinagar Nagarik Co-operative Bank,24959,1220.77,323
33040,01-03-2024,Goa Urban Co-operative Bank,912,94.69,410
33041,01-03-2024,Godhra Urban Co-operative Bank,16015,6532.51,5718
33042,01-03-2024,Greater Bombay Co-operative Bank,15450,3911.43,4312
33043,01-03-2024,Gujarat State Co-operative Bank,567414,17970.25,3707
33044,01-03-2024,Guntur Co-operative Urban Bank,294,43.5,110
33045,01-03-2024,Guntur District Co-operative Central Bank,1513,309.47,2108
33046,01-03-2024,Haryana State Co-operative Apex Bank,30435,1243.81,1435
33047,01-03-2024,Hasti Co-operative Bank,463261,18304.91,1406
33048,01-03-2024,Honavar Urban Co-operative Bank,179,14.07,56
